Distance_(cm),cm
0.0,0.49566576
0.08098110101010102,0.5386463760481695
0.16196220202020203,0.62473778339491
0.24294330303030304,0.7363402883414989
0.32392440404040407,0.8620297369104216
0.4049055050505051,0.94248557997634
0.4858866060606061,0.9866186495058695
0.5668677070707071,0.99681284
0.6478488080808081,0.9975625749288684
0.7288299090909092,1.0116665478132678
0.8098110101010102,1.029712113839294
0.8907921111111112,1.0651886543410078
0.9717732121212121,1.0858986325980526
1.0527543131313133,1.08956094
1.1337354141414142,1.103693956964237
1.2147165151515154,1.10795562
1.2956976161616163,1.1141750451081385
1.3766787171717172,1.1186414
1.4576598181818183,1.11800132
1.5386409191919193,1.11329179281921
1.6196220202020204,1.107785315711607
1.7006031212121213,1.1040758764400764
1.7815842222222225,1.1041580089622958
1.8625653232323234,1.0986008
1.9435464242424243,1.09794802
2.0245275252525254,1.0909479316279918
2.1055086262626266,1.09205776
2.1864897272727273,1.09048296
2.2674708282828284,1.08282994
2.3484519292929296,1.0891425701719901
2.4294330303030307,1.0915650913003914
2.5104141313131314,1.0941558
2.5913952323232325,1.0953424138502137
2.6723763333333337,1.10302802
2.7533574343434344,1.0994082475627143
2.8343385353535355,1.0986008
2.9153196363636367,1.09794802
2.996300737373738,1.090676587712561
3.0772818383838385,1.07218988
3.1582629393939397,1.06615484
3.239244040404041,1.0645900480638215
3.3202251414141415,1.0708842491940425
3.4012062424242426,1.07218988
3.4821873434343438,1.06776774
3.563168444444445,1.0732064656322988
3.6441495454545456,1.07619292
3.7251306464646468,1.0763246429653897
3.806111747474748,1.07619292
3.8870928484848486,1.070706642966603
3.9680739494949497,1.0725066328869535
